job_id,skill_id,weight
cebdfd6a-892c-4ee9-afd5-80d193970225,942bc8c7-a671-4579-8470-c1a4311c7f42,1.0
cebdfd6a-892c-4ee9-afd5-80d193970225,8ac91422-6964-4bea-a049-51d060c18793,1.0
cebdfd6a-892c-4ee9-afd5-80d193970225,8dc27865-4be6-4f71-8333-baafba54a48b,1.0
cebdfd6a-892c-4ee9-afd5-80d193970225,939a6f90-f789-40d1-866b-e48d834bfb9f,1.0
cebdfd6a-892c-4ee9-afd5-80d193970225,9f1616f7-e308-4802-836d-206c9a43c5ff,1.0
9b37b149-eada-46d3-aae8-a415f7a51f58,942bc8c7-a671-4579-8470-c1a4311c7f42,1.0
9b37b149-eada-46d3-aae8-a415f7a51f58,8ac91422-6964-4bea-a049-51d060c18793,1.0
9b37b149-eada-46d3-aae8-a415f7a51f58,8dc27865-4be6-4f71-8333-baafba54a48b,1.0
9b37b149-eada-46d3-aae8-a415f7a51f58,939a6f90-f789-40d1-866b-e48d834bfb9f,1.0
9b37b149-eada-46d3-aae8-a415f7a51f58,9f1616f7-e308-4802-836d-206c9a43c5ff,1.0
